working_id,name_en_normalized,before_body_part_ko,before_primary_muscles_ko,before_secondary_muscles_ko,after_body_part_ko,after_primary_muscles_ko,after_secondary_muscles_ko,resolution_method,resolution_note
gvs_8aecff4df0f6a045,Seated Single Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3f30299ccf0fdc32,Seated Single Leg Raise On Chair,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_98bd67e805594e1a,Side Lying Diagonal Backward Leg Raise,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_839d056b1b9bcc2b,Side Plank Leg Raise,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_2af2c2e74582a817,Side Step Front Plank,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_c8f506ed3d947379,Single Leg Extension Crunch,코어,대퇴사두근,,코어,복직근,대퇴사두근 / 장요근,FIX_CRUNCH_COMPOUND_CORE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_6ff5c9f91113b32d,Slight Squat Torso Twist,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_a95ca5a4f85f0b16,Smith Close Grip Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_69e6766d13a6d6b5,Smith Decline Close Grip Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_c36560a0d4dc0b26,Smith Jm Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_8cb4d483370b9093,Smith Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_31356bc0fc03a2e2,Spider Plank,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_4118300f0edeb897,Standing Boat Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_84b70d5ccc0a4462,Standing Side And Front Leg Raise,하체,복직근,,하체,중둔근 / 장요근,,FIX_STANDING_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_f6a56fdea22c83c4,Standing Side Leg Raise,하체,복직근,,하체,중둔근,,FIX_STANDING_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_86835c1995eb4a85,Stick Standing Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_9b3e8460dd51fe22,Straight Hip Single Leg Curl On Stability Ball,팔,햄스트링,,하체,햄스트링,,FIX_LEG_CURL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_39a8ee936a08d273,Sumo Deadlift High Pull Thighs,어깨,둔근 / 햄스트링,등 / 코어,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3d3af35f4a766267,Superman Lift And Lat Pulldown,하체,광배근,이두근 / 승모근,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_452209d83d7f436a,Suspender Forward Lunge With Rear Fly,어깨,대퇴사두근,둔근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_586ed4c4008c9ff6,Suspender Push Up To Side Plank,가슴,코어,,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e9553868974d31ea,Suspender Reverse Fly Wake Up,등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ca71b11b3a769573,Suspender Single Leg Plank (Straight Arm),하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ae7086ee65f8eafc,Suspension Close Grip Chest Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_49481be632164f30,Svend Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_aeb2844707203317,Upper Body Rotation In Squat Position,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e092b3c639f2504e,Vertical Leg Raise (On Parallel Bars),하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_5cd7c872658af8e8,Weighted Bag Half Squat High Pull,어깨,대퇴사두근,둔근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_0bf551ae1ded6328,Weighted Bag Wood Chop Squat,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3d22d7750e18a87d,Weighted Captains Chair Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_157057b262de73a0,Weighted Dumbbell Lying Knee Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_663515f47db2267a,Weighted Hanging Straight Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_8025ed5656831634,Weighted Leg Extension Crunch,코어,대퇴사두근,,코어,복직근,대퇴사두근 / 장요근,FIX_CRUNCH_COMPOUND_CORE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
